fifties,sixties,seventies,eighties,nineties,twok,twenty ten
76,75.5,72,74,69.5,78,78.5
78.5,75.5,77.5,74,73.5,75.5,82.5
77.5,77,76,78,74.5,77.5,83.5
79.5,79,75.5,76.5,71.5,82,83
82,80.5,76,79,68.5,78.5,76.5
84,80,77,82,71.5,77.5,79.5
82,79.5,78,78.5,71.5,81.5,81
74.5,76.5,81,79.5,73.5,80,80
72.5,75,74.5,78,78,76.5,77
72,76,76,77.5,79,74.5,78.5
74,79,73,79.5,78.5,76,80.5
78.5,73,69,79.5,78.5,76,77
77,73.5,76,80.5,80.5,74,78.5
71,76,77,80,82,73.5,72
70.5,68.5,77.5,78,83.5,79,72
70,68.5,80,76,79,81,70.5
75.5,69,79,68.5,77,81.5,69.5
71.5,73,80,70,78,81.5,72
75.5,75.5,75.5,81.5,73.5,78.5,80
75.5,75.5,79.5,81,77,78.5,80
76.5,66.5,76.5,77,73,76.5,77
65,72,72,78,78,77.5,80.5
67.5,72,71,65,71.5,79,76
74.5,71,67,62.5,63,84.5,70
82.5,71.5,73.5,66.5,62.5,84.5,73
70.5,75.5,73.5,73.5,58.5,85,74.5
72.5,75.5,75,76.5,60.5,85,76
79,76,77,80,64,85,81.5
82,79,67,64,70,86.5,82
79.5,79.5,69,61.5,78.5,78.5,78
73,80.5,75,64,79,76,75
75.5,75,79.5,69.5,78.5,83,79
83,65,67,75.5,73.5,80,79
76.5,68,64,77.5,70,77.5,78.5
70,75.5,69,78.5,69.5,80,80.5
66.5,72.5,78,76.5,71,79,83.5
69,70.5,83,75.5,75.5,70,85.5
71.5,69.5,81,76,81,71.5,86
70.5,73.5,75,78.5,76.5,74,85.5
74.5,72,77,82,78,72.5,83.5
63.5,71.5,75,84,78,77.5,78
63.5,79.5,70,84.5,80,76.5,73
66,82,72,89,79.5,73,75
70,80.5,75.5,83.5,83.5,75,80.5
73.5,80.5,81.5,87,84,79.5,76
65,73,84,82,86,82.5,79
68.5,60.5,87,73,85,78.5,78.5
70.5,70,86,74,84.5,79,82.5
74,80,85,77,78.5,76,83.5
76.5,82,83,77,77.5,73,84.5
78.5,77,74,81,76,74,73.5
69.5,62.5,69.5,77,75,78.5,76.5
68,59,69.5,75.5,71.5,70.5,69
68,62.5,69,72,76,59,72
73.5,71.5,71.5,66,77,64,79
73.5,76,79,67,80,66,76.5
76,78.5,74.5,69.5,80,71.5,73
79.5,78.5,76.5,70.5,82.5,75.5,77
79,65.5,79,72.5,82.5,77.5,76.5
76.5,70,75,66,82,72.5,72.5
77,76.5,66.5,68,81,74,66.5
81.5,80,70,75,82,71,68.5
69.5,76.5,73.5,74.5,79,72.5,66.5
65.5,73,74.5,69,76,75,65
69.5,63.5,74,67,69.5,74.5,77
73,63,75.5,62,67,74.5,79.5
70.5,63.5,77,64,67.5,78,77.5
67.5,68,83.5,73.5,65,74.5,77.5
67.5,73.5,80.5,73.5,70,82,79
71.5,74.5,81.5,75,76.5,81.5,73
77.5,71.5,80.5,75,79.5,81.5,73
78.5,74,78,79,79,80,74.5
79.5,74.5,76,80.5,78.5,81.5,78
76,76.5,63,80.5,75,81,75.5
82.5,82.5,62,81.5,78.5,83.5,77
82,83,67.5,82,80.5,81,80
83.5,83.5,71.5,79.5,79,82.5,81.5
87.5,83.5,76.5,79,77.5,78,81.5
86.5,80,74.5,75,74,76,84.5
86.5,82,72,73.5,72,73,83
