fifties,sixties,seventies,eighties,nineties,twok,twenty ten
81,64.5,82.5,71,77,77,78.5
81,74.5,75.5,84,75.5,83.5,76
77.5,73.5,80,86,75,84,77
77.5,73.5,78.5,86,78.5,78.5,79
78,82.5,72,83,78.5,81.5,81.5
79.5,83.5,71,79.5,81.5,83.5,83
80.5,84.5,72.5,80.5,81.5,81,83
82,83,74.5,81.5,82,81,82
82,81.5,73.5,80,81,74.5,80.5
80.5,83.5,78,81.5,78.5,73,81
80,78,79.5,84.5,78.5,76,78.5
82.5,70.5,76,84,80.5,71,80
74.5,69,74,82,77,73.5,80
81,73.5,77,84,77,76,79
83.5,77.5,78.5,83.5,78.5,75.5,79.5
74.5,81.5,81.5,86,75.5,76,75
76,82.5,83.5,89.5,78.5,73.5,78
72,85,79.5,87.5,79.5,75,81.5
72.5,83.5,79,87,82,76.5,80.5
69.5,85,82,79,77.5,78.5,80.5
75,85,71.5,79.5,74,81,80
80,83,70,80,76.5,84,77
73,85.5,73,76,80,85.5,72.5
74.5,85.5,77,77,81,85,71
72.5,86.5,84.5,76.5,80.5,84,69.5
67,76,86,74.5,85,75.5,80
67,68,80.5,75.5,80,77,83.5
70,63.5,82.5,76,76.5,76.5,85
71,67,81.5,73.5,79,79.5,85
75,67,73.5,69,77,82.5,84
80.5,70.5,72.5,65.5,77.5,80,80.5
76.5,71.5,70.5,68,79,81,80.5
81,75,80,80.5,86,74.5,80
78,73.5,75,80.5,80.5,73.5,81
80,70.5,75.5,81.5,77,72.5,81.5
76,72.5,78.5,83,80,71,82.5
80.5,72.5,81,82,80.5,74.5,82
80.5,75,83.5,76.5,79.5,75,82.5
80,76.5,83,65,82,73,81
73.5,78,84.5,65.5,77.5,78.5,81
74,81.5,84,66.5,76,82,85
75.5,72,83,70,77.5,81.5,79.5
76.5,69.5,70,72,83,78,80.5
78.5,72.5,67,74,84.5,76.5,80
81,76,68.5,74,84.5,77.5,81
82.5,77.5,72,75,70.5,77.5,83
81.5,78,65,75.5,74,80.5,78
77.5,77.5,64.5,78,78,82,79.5
75,77.5,69.5,73.5,83,81,83
82.5,81.5,76.5,72,81.5,80.5,86
84,74,83.5,72,78.5,81.5,86
83.5,77.5,81.5,75,74.5,79.5,85.5
85,67,76.5,76,74,74.5,82.5
86,70,78,81.5,76.5,69,79.5
86,71.5,75,80,81.5,69,71.5
84.5,73.5,75.5,79,76.5,68,71.5
86.5,73,71.5,79,73.5,73.5,73.5
87,74.5,71.5,80.5,74.5,78,72.5
82.5,75,76,81,78.5,79.5,78
78,74,75.5,81.5,81,77,72.5
81.5,75.5,77,82,83.5,74,73
80.5,76,77.5,80,71,67.5,79
80,76,77,80.5,73.5,65,80.5
