fifties,sixties,seventies,eighties,nineties,twok,twenty ten
29,36.5,11.5,48,29.5,28,55.5
25.5,33,13.5,32.5,21.5,33.5,35
24,19,17,36,18,41.5,29
29,26.5,11.5,41.5,30.5,31.5,30
41,22,25,47,48,34,35.5
49.5,28.5,36,34,43.5,28.5,36
53,26,20.5,37,26.5,27.5,32.5
36.5,34,11.5,36,28,9.5,32
13,43,32,36.5,45,8.5,38.5
14,47,38.5,42,45.5,24,43
19.5,45,26.5,48.5,44,33.5,40
41,37,30,42,40.5,23.5,36.5
47.5,38,40,39.5,50,20.5,20.5
42,43,33,30,55,24,17.5
16,48.5,27,37,61.5,39.5,34.5
26,49.5,34.5,41.5,53,47,42.5
36.5,38,27.5,47.5,37.5,28,30.5
45.5,24,21,58.5,38,19.5,21
40.5,22,25,49,42.5,24,33.5
31,30,29,40.5,55.5,28,35.5
29,43.5,25.5,43,49,27.5,39.5
48,55,21,47,39,25.5,20.5
46.5,49,20.5,45.5,42,24.5,12.5
31.5,38.5,21,51,43.5,26.5,15
