fifties,sixties,seventies,eighties,nineties,twok,twenty ten
24,51.5,32.5,49.5,40.5,44.5,53
25.5,57.5,40.5,39,50.5,49,50.5
35,56,46,44,45,53.5,43.5
33.5,59,56,53,33.5,57,42
29,52,50.5,43.5,30,56,40.5
35,35.5,30,42.5,36,56,51
31,32,19,44,39,67,58
28.5,37.5,18.5,44,50.5,63.5,52
54,54.5,62.5,65,52.5,54,52
52,52,63.5,67.5,46.5,50.5,66.5
54,46.5,68.5,64.5,40.5,50,62.5
51,38.5,69.5,65.5,39.5,50,61.5
44.5,32.5,70.5,54,47.5,56,71
43.5,35,68.5,44.5,48.5,42,62
49.5,39,65.5,57.5,49,40.5,49.5
47,37.5,64,63,48.5,46,48
34.5,50,60.5,49.5,45,53.5,48
33,52.5,45,39,45.5,45,38
37,54,41.5,37,44.5,50,38.5
48.5,56.5,36.5,41.5,36.5,63.5,48
51.5,41.5,34,54,37.5,59.5,44.5
56.5,37,46,50,35.5,60,47.5
52,33.5,59.5,53,34,43,45
58,38,57.5,61,30.5,39.5,42.5
48.5,54.5,48.5,58.5,29.5,48,46.5
54,47,45,43.5,35.5,46.5,54.5
39.5,42,46.5,42,44,56,37
44,37.5,51.5,37,46.5,66,38.5
39,46.5,49.5,31,47.5,65.5,50
33,44.5,39.5,40,43.5,50,38
39.5,36,49,49,37.5,34.5,38.5
43.5,36.5,44.5,55.5,37.5,34.5,46
40.5,50,34,63.5,45.5,42,53.5
46,47.5,22.5,52,53,51,46
55,37.5,30.5,52,43,43,50
50.5,32.5,30,52,62,44,54
38,32,35,42.5,58.5,42.5,54
29,39,48.5,40,52.5,39.5,49
49,71.5,58.5,52.5,63,59.5,58
48,63,56.5,45,57,60.5,47
48.5,57,57.5,51.5,47,60.5,49.5
55.5,56,58.5,62,44,60.5,55.5
52,54,58.5,46,40.5,60,58.5
44,53.5,59,37,43,60.5,57
43.5,49,45.5,48,42.5,57,51.5
43.5,44.5,44.5,52,48.5,49,41.5
50,37.5,46.5,52,50,41,41
43.5,37,53.5,57,61.5,41,31.5
49,35.5,56.5,39.5,46.5,41.5,36
56.5,36.5,61.5,49.5,44,51,40.5
59.5,37,66.5,51,51.5,57.5,34.5
65.5,48.5,57.5,52,52,58,31
65.5,60.5,45,57.5,51.5,45.5,34.5
65,56.5,47,53.5,53,39.5,37.5
75,52.5,58.5,41.5,49,36.5,39.5
59.5,46.5,46,42.5,52,34,48.5
48,36,44,49,57.5,36,45.5
52,32.5,43,54,46,36.5,37.5
45.5,39,45,38.5,41.5,30,41
47,48,45,40,46.5,27.5,44
50,54.5,53,42,57.5,36.5,45.5
53,50,43.5,45,50.5,44,52
55.5,44.5,39,52.5,52,38,50
42.5,49,44,60,51.5,37.5,41.5
30.5,53.5,47.5,49.5,55,42,26.5
23,54,38,33.5,56,43,28.5
25.5,41,40.5,38,63,40.5,40
17,40,41.5,42,64.5,40,52.5
56.5,56.5,56.5,44.5,67.5,46.5,40
45.5,50.5,46,48.5,51,51.5,44
45.5,45.5,45.5,39.5,40.5,48.5,44.5
62.5,41.5,46,41.5,48.5,50.5,50
60,47.5,49.5,54.5,61,47.5,48
35,48,49.5,56,65.5,48,46.5
35,49,44.5,58.5,56.5,61,42.5
37,46,44.5,56,62,62,32
40.5,44.5,53,48.5,64,62,39
50.5,49,42,44.5,66.5,60.5,54.5
48.5,53.5,37.5,53,57,53,47
46.5,45.5,39,57,55.5,48,24.5
65,42,41.5,61,60,49.5,26.5
46.5,29,39.5,63.5,57.5,54.5,38
35.5,30,44,54.5,44.5,55.5,36
42.5,43,45,34,44.5,58,39.5
23.5,52,51,31.5,39.5,50.5,39
25.5,56,54.5,32.5,50,49.5,41.5
42,40.5,56.5,41.5,59.5,49.5,42.5
46.5,31,61.5,59,52,48.5,45
50,39,61.5,41,58,51,51.5
48,46,59.5,32,62,49,48.5
57.5,52.5,49.5,30.5,62.5,52,41
44.5,38,43.5,33.5,54,55,43.5
37,40.5,49.5,46.5,43.5,49.5,50.5
48.5,40,48.5,54,47,42.5,51
34.5,35.5,50.5,60.5,50,39,51.5
27.5,36,37,52.5,46,47,38.5
27.5,33.5,28,33,41,53,43
32.5,36.5,31.5,38.5,35.5,43,50
