fifties,sixties,seventies,eighties,nineties,twok,twenty ten
78,80,79.5,75.5,74.5,78,79.5
78,79.5,79.5,75,72,82,79
82,81.5,78,79,77.5,82.5,76
82.5,79,77,77.5,77,79.5,74
79,71,79,81.5,79,84.5,76
81.5,72,79,80,75,81.5,77.5
80,79.5,75.5,82.5,76,82.5,75.5
82,77.5,72,75,78,67.5,80.5
69,74,74,67.5,81,68,84
73.5,76.5,76.5,74,84.5,71,81.5
77,82.5,76.5,76.5,86,69.5,81
77,84,67.5,77,85.5,69.5,83
77.5,80.5,67.5,81.5,85.5,73,82.5
77.5,81,73,82.5,81,75,84.5
80.5,81,71,81.5,78,76,82
83.5,81,71.5,82,82,78.5,83
80,78,75,84.5,74,79.5,84.5
78.5,80,74.5,83.5,71,79.5,84
74.5,80,73.5,80,73.5,78.5,81
79,81,77.5,77.5,76,76,80
79.5,76,76.5,75,78,74.5,83
81.5,79,77,73.5,79.5,76,82
81,83,80,75,81,79.5,83.5
83,82.5,75.5,75,82.5,71.5,83.5
84,82,74,73.5,83.5,65,85.5
81,82.5,71,75,82.5,64.5,87
77.5,82,75.5,74,86.5,69,88
80,78.5,77,75,86,70.5,83.5
81.5,75,79.5,78.5,87.5,69,76
77,77,78,82,88.5,74,73.5
79.5,77.5,79.5,81,88.5,73.5,74
75.5,78.5,77,82,87,75,75
82.5,77.5,74,83,85.5,76,77.5
82.5,78.5,75.5,82.5,86,75,80.5
82,73,74.5,81.5,86.5,75,81.5
84,73.5,76.5,76.5,90,75,83.5
87,73.5,79.5,76,93.5,76,81
85,73,81.5,77.5,91.5,75.5,80
