fifties,sixties,seventies,eighties,nineties,twok,twenty ten
80,75.5,78,77,78.5,65,81
79,77,76,74,80,70,80.5
77,76,78,70.5,83,74,80
77,75.5,79,70.5,84,74.5,82
80.5,77,79.5,78.5,83,74.5,73
80.5,78.5,78,77,83.5,74,77
82.5,75.5,72.5,78,76.5,73.5,71.5
83,71,63,79.5,78,73,71.5
81.5,61,64,80.5,74.5,74.5,80
67.5,59.5,69,76.5,70,72.5,84.5
63.5,58,73,75,75,75,87
65.5,60,76,73.5,78.5,70.5,86
67.5,63.5,71.5,75.5,69.5,70,85
70,67,69,68,65,71.5,78.5
69.5,71,62,63.5,67,72.5,78.5
62.5,72.5,63,68,65.5,75.5,83.5
58.5,71.5,67.5,67.5,64.5,70.5,82
62.5,64.5,70,66.5,66,72,78.5
65,62.5,69.5,66.5,72,73.5,81
72.5,64.5,66,69,70.5,72,81.5
73.5,67.5,63.5,77,61.5,75,82.5
76.5,70.5,61,73.5,59,77,79
75.5,68.5,59.5,57,63,73.5,77.5
75.5,62.5,64,51.5,72,72.5,70.5
76.5,60.5,67,56.5,73.5,72.5,73.5
77,62.5,68,60,72.5,68.5,74
80,66,66.5,55.5,76.5,65.5,77
83,60,69,59.5,78,64,86
76,59.5,68,65.5,63,54,84
71,67,69.5,68.5,58,58.5,85.5
